BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
RY*                      C[8]                     1.17112                  -0.64742                 1.39981                  0.66613                  56.8797390532            -0.43744                 -23.8094978909           
RY*                      C[8]                     1.38597                  -0.64742                 1.89263                  0.45128                  32.5605893345            0.05538                  3.01428765818            
RY*                      C[8]                     1.55185                  -0.64742                 1.0933                   0.2854                   18.3909527338            -0.85295                 -43.8253050739           
RY*                      C[8]                     4.43203                  -0.64742                 1.25949                  -2.59478                 -58.5460838487           -0.68676                 -35.2863198459           
RY*                      C[8]                     1.29695                  -0.64742                 1.69552                  0.6493                   50.0636107791            -0.25073                 -12.8827231856           
RY*                      C[8]                     1.28872                  -0.64742                 1.94169                  0.65753                  51.0219442548            -0.00456                 -0.23429672447           
RY*                      C[8]                     1.46775                  -0.64742                 1.38005                  0.4785                   32.6009197752            -0.5662                  -29.0918432884           
RY*                      C[8]                     1.70065                  -0.64742                 2.3726                   0.2456                   14.4415370594            0.42635                  21.9062299294            
RY*                      C[8]                     1.99666                  -0.64742                 1.75671                  -0.05041                 -2.52471627618           -0.18954                 -9.7387283237            
RY*                      C[8]                     1.6294                   -0.64742                 2.09759                  0.31685                  19.445808273             0.15134                  7.77597944766            
RY*                      C[8]                     1.90404                  -0.64742                 1.81131                  0.04221                  2.21686519191            -0.13494                 -6.93333333333           
RY*                      C[8]                     2.17923                  -0.64742                 2.50869                  -0.23298                 -10.6909321182           0.56244                  28.8986512524            
RY*                      C[8]                     2.42003                  -0.64742                 1.48445                  -0.47378                 -19.5774432548           -0.4618                  -23.7276814387           
RY*                      H[13]                    2.15991                  -0.64742                 0.82187                  -0.21366                 -9.89207883662           -1.12438                 -57.7716120745           
RY*                      H[14]                    1.17112                  -0.64742                 1.39981                  0.77513                  66.1870687889            -0.54644                 -28.0765574823           
RY*                      H[15]                    1.38597                  -0.64742                 1.89263                  0.56028                  40.4251174268            -0.05362                 -2.75504174695           
BD*                      C[7]- O[2]               1.55185                  -0.64742                 1.0933                   0.3944                   25.414827464             -1.39954                 -56.1423918101           
BD*                      C[7]- C[5]               4.43203                  -0.64742                 1.25949                  -2.48578                 -56.0867142145           -1.23335                 -49.4756984002           
BD*                      C[7]- C[9]               1.29695                  -0.64742                 1.69552                  1.19589                  92.2078723158            -0.79732                 -31.9844033311           
BD*                      C[7]- C[8]               1.28872                  -0.64742                 1.94169                  1.20412                  93.4353467006            -0.55115                 -22.1093210956           
BD*                      C[5]- O[1]               1.46775                  -0.64742                 1.38005                  1.02509                  69.840912962             -1.11279                 -44.6394473773           
BD*                      C[5]- O[1]               1.70065                  -0.64742                 2.3726                   0.79219                  46.5816011525            -0.12024                 -4.82341425844           
